Date,Open,High,Low,Close,Adj Close,Volume
2017-04-25,480.000000,494.600006,478.666992,492.833008,430.869598,220758
2017-04-26,493.333008,496.433014,481.799988,487.433014,426.148529,100202
2017-04-27,488.000000,491.799988,482.867004,490.200012,428.567657,79443
2017-04-28,491.600006,493.333008,477.600006,479.500000,419.212921,171309
2017-05-02,480.666992,495.333008,480.666992,493.166992,431.161621,211242
2017-05-03,494.000000,502.666992,486.666992,489.666992,428.101624,374386
2017-05-04,493.333008,493.333008,480.000000,487.399994,426.119690,448118
2017-05-05,491.399994,496.367004,481.000000,483.899994,423.059723,201471
2017-05-08,484.833008,486.500000,473.532990,477.399994,417.376984,507405
2017-05-09,478.032990,481.933014,473.532990,480.700012,420.262085,149859
2017-05-10,483.333008,486.799988,480.666992,485.433014,424.400024,150244
2017-05-11,489.200012,490.000000,483.500000,485.967010,424.866852,161373
2017-05-12,487.500000,490.132996,483.333008,486.933014,425.711426,217215
2017-05-15,489.500000,490.666992,482.666992,484.833008,423.875427,212054
2017-05-16,484.666992,489.233002,482.333008,487.967010,426.615417,140308
2017-05-17,487.933014,490.000000,482.000000,484.367004,423.468018,194110
2017-05-18,484.367004,484.700012,473.333008,475.733002,415.919556,74427
2017-05-19,475.766998,481.666992,466.666992,468.367004,409.479675,122522
2017-05-22,468.000000,468.000000,458.000000,464.132996,405.778015,91809
2017-05-23,464.132996,470.000000,459.333008,464.766998,406.332275,79572
2017-05-24,469.333008,475.666992,461.266998,473.266998,413.763611,71223
2017-05-25,476.066986,486.666992,471.899994,483.967010,423.118286,103874
2017-05-26,479.333008,502.632996,469.399994,500.166992,437.281494,438736
2017-05-29,506.000000,513.232971,497.399994,504.000000,440.632568,374115
2017-05-30,498.000000,498.000000,483.833008,492.000000,430.141327,266138
2017-05-31,494.666992,499.100006,490.666992,494.733002,432.530701,135184
2017-06-01,496.000000,496.000000,486.200012,490.333008,428.683929,115090
2017-06-02,492.000000,493.200012,482.367004,483.500000,422.710022,101792
2017-06-05,484.666992,491.433014,483.333008,487.399994,426.119690,68898
2017-06-06,488.333008,490.632996,482.666992,484.032990,423.175964,106856
2017-06-07,484.000000,484.666992,474.399994,477.467010,417.435547,206079
2017-06-08,483.200012,486.000000,470.733002,471.867004,413.405487,193570
2017-06-09,474.666992,477.233002,464.500000,469.000000,410.893646,230325
2017-06-12,470.666992,471.266998,466.299988,468.100006,410.105164,147162
2017-06-13,468.666992,472.333008,464.666992,465.967010,408.236450,125685
2017-06-14,466.666992,466.666992,459.632996,461.166992,404.031097,253800
2017-06-15,461.666992,463.333008,442.666992,446.733002,391.385376,325738
2017-06-16,448.733002,456.000000,447.500000,449.132996,393.488068,300386
2017-06-19,453.200012,453.200012,444.000000,444.867004,389.750580,117700
2017-06-20,445.500000,447.967010,441.700012,442.933014,388.056183,135640
2017-06-21,444.000000,445.333008,434.933014,436.367004,382.303711,161589
2017-06-22,436.367004,436.566986,424.766998,428.266998,375.207245,247894
2017-06-23,428.666992,431.132996,419.399994,420.566986,368.461212,192072
2017-06-27,420.000000,420.000000,400.166992,408.000000,357.451202,484707
2017-06-28,408.000000,416.333008,406.032990,411.299988,360.342316,161956
2017-06-29,411.700012,422.200012,411.333008,417.532990,365.803101,165639
2017-06-30,414.666992,427.367004,414.666992,425.967010,373.192200,148586
2017-07-03,427.333008,434.000000,427.333008,432.867004,379.237335,3653640
2017-07-04,436.666992,443.200012,431.666992,438.132996,383.850922,214444
2017-07-05,439.933014,442.833008,437.867004,440.467010,385.895752,121480
2017-07-06,443.166992,443.500000,438.666992,440.000000,385.486603,92800
2017-07-07,444.600006,445.766998,439.399994,442.666992,387.823151,112647
2017-07-10,444.666992,454.799988,433.333008,442.066986,387.297455,1188366
2017-07-11,446.666992,453.467010,443.100006,451.867004,395.883331,222825
2017-07-12,454.666992,458.000000,452.666992,456.100006,399.591888,289996
2017-07-13,469.399994,469.399994,454.649994,458.250000,401.475555,391240
2017-07-14,464.799988,464.799988,456.500000,461.350006,404.191437,87305
2017-07-17,465.000000,470.000000,460.049988,466.450012,408.659576,105726
2017-07-18,469.000000,474.850006,464.299988,468.700012,410.630859,166427
2017-07-19,470.000000,472.399994,465.899994,469.799988,411.594543,131972
2017-07-20,470.000000,471.600006,463.299988,467.049988,409.185242,195245
2017-07-21,468.200012,468.200012,461.549988,467.200012,409.316650,71601
2017-07-24,476.000000,476.000000,464.000000,466.000000,408.265350,87332
2017-07-25,465.950012,468.000000,463.950012,466.700012,408.878601,51556
2017-07-26,472.000000,472.350006,467.500000,471.399994,412.996307,65462
2017-07-27,472.000000,478.899994,472.000000,477.100006,417.990112,67414
2017-07-28,474.500000,480.500000,469.750000,474.750000,415.931274,67822
2017-07-31,474.000000,477.799988,469.000000,470.700012,412.383026,82462
2017-08-01,472.000000,485.000000,472.000000,484.399994,424.385681,114244
2017-08-02,485.000000,489.450012,484.000000,485.500000,425.349396,85812
2017-08-03,489.950012,498.850006,485.200012,489.899994,429.204285,218545
2017-08-04,493.700012,526.049988,491.000000,516.549988,452.552460,339340
2017-08-07,521.500000,529.049988,514.200012,527.450012,462.102051,266186
2017-08-08,530.000000,530.000000,502.250000,504.500000,441.995422,149528
